Name,x,z,le_sweep,dihedral,root_chord,root_tc,CD,dB(C)
AS29,0.09208333333333334,0.0006749999999999994,-40.5,-3.75,0.10241666666666667,0.02066666666666667,0.000802201547,89.41402429084155
AS30,0.07625,0.003975,31.83333333333333,-11.25,0.04758333333333334,0.09533333333333334,0.0122991997,96.63399600663045
AS31,0.05791666666666667,-0.002925,41.16666666666666,7.75,0.07675,0.044666666666666674,0.00277997785,91.2618144160404
AS34,0.06541666666666668,0.001425,-49.83333333333333,3.25,0.10825,0.07533333333333334,0.00297809767,92.73469763257786
AS36,0.09125,-0.0014249999999999994,20.16666666666667,9.25,0.08958333333333332,0.022000000000000002,0.0010796033999999999,89.9883365265345
AS37,0.07375000000000001,0.0033750000000000004,17.83333333333333,-9.75,0.049916666666666665,0.07,0.006520959399999999,95.73160896899327
AS39,0.09541666666666668,0.0012749999999999992,-19.500000000000007,-8.75,0.042916666666666665,0.08199999999999999,0.00971522719,93.93894997795131
AS43,0.07125000000000001,0.0009750000000000002,6.166666666666656,7.25,0.060416666666666674,0.09266666666666667,0.0108395591,96.3895160489195
AS44,0.06625,0.002175,-14.833333333333346,-7.75,0.06858333333333333,0.054000000000000006,0.00432518502,92.53304322650942
AS46,0.08291666666666668,-0.0005250000000000003,-5.499999999999993,9.75,0.09891666666666668,0.06066666666666666,0.00354687464,91.68433268297633
AS47,0.09375,0.002025,-24.16666666666667,-0.75,0.10941666666666668,0.062,0.00269300467,92.2092162282287
AS49,0.08458333333333334,-0.002325,69.16666666666666,13.749999999999995,0.052250000000000005,0.07933333333333334,0.004080019829999999,90.26808740392805
AS50,0.05291666666666667,-0.0020249999999999995,59.83333333333333,8.750000000000004,0.10008333333333334,0.03,0.0013332943300000003,90.01523104834298
AS53,0.07291666666666667,-0.0008250000000000003,52.83333333333333,14.25,0.07791666666666668,0.07400000000000001,0.00584156863,93.41439761518612
AS55,0.08791666666666667,-0.003974999999999999,-17.166666666666664,-7.250000000000001,0.04175,0.07133333333333333,0.008116801429999999,93.13796221487583
AS56,0.05541666666666667,0.002925,-0.8333333333333286,-10.25,0.051083333333333335,0.066,0.006304367900000001,93.68514877533194
AS58,0.07958333333333334,0.003825,-45.16666666666667,-13.25,0.06158333333333334,0.026,0.00149023489,89.82280824629622
AS60,0.08875,0.0008250000000000003,57.5,-5.250000000000002,0.08491666666666667,0.06733333333333334,0.00493139919,93.8906783739593
